39.0,3 11 14 17 20 9 2 
39.0,3 11 14 17 20 9 22 
38.0,3 11 14 17 20 9 18 
37.0,3 11 14 17 20 9 0 
37.0,3 11 14 17 20 9 1 
37.0,3 11 14 17 20 9 13 
37.0,3 11 14 17 20 9 15 
37.0,3 11 14 17 20 9 16 
36.0,3 11 14 17 20 9 4 
36.0,3 11 14 17 20 9 5 
36.0,3 11 14 17 20 9 7 
36.0,3 11 14 17 20 9 8 
36.0,3 11 14 17 20 9 23 
37.0,3 11 14 17 20 2 10 
37.0,3 11 14 17 20 2 12 
37.0,3 11 14 17 20 2 21 
37.0,3 11 14 17 20 2 24 
36.0,3 11 14 17 20 2 6 
37.0,3 11 14 17 20 10 22 
36.0,3 11 14 17 20 10 18 
35.0,3 11 14 17 20 10 0 
35.0,3 11 14 17 20 10 1 
35.0,3 11 14 17 20 10 13 
35.0,3 11 14 17 20 10 15 
35.0,3 11 14 17 20 10 16 
34.0,3 11 14 17 20 10 4 
34.0,3 11 14 17 20 10 5 
34.0,3 11 14 17 20 10 7 
34.0,3 11 14 17 20 10 8 
34.0,3 11 14 17 20 10 23 
37.0,3 11 14 17 20 12 22 
36.0,3 11 14 17 20 12 18 
35.0,3 11 14 17 20 12 0 
35.0,3 11 14 17 20 12 1 
35.0,3 11 14 17 20 12 13 
35.0,3 11 14 17 20 12 15 
35.0,3 11 14 17 20 12 16 
34.0,3 11 14 17 20 12 4 
34.0,3 11 14 17 20 12 5 
34.0,3 11 14 17 20 12 7 
34.0,3 11 14 17 20 12 8 
34.0,3 11 14 17 20 12 23 
37.0,3 11 14 17 20 21 22 
36.0,3 11 14 17 20 21 18 
35.0,3 11 14 17 20 21 0 
35.0,3 11 14 17 20 21 1 
35.0,3 11 14 17 20 21 13 
35.0,3 11 14 17 20 21 15 
35.0,3 11 14 17 20 21 16 
34.0,3 11 14 17 20 21 4 
34.0,3 11 14 17 20 21 5 
34.0,3 11 14 17 20 21 7 
34.0,3 11 14 17 20 21 8 
34.0,3 11 14 17 20 21 23 
37.0,3 11 14 17 20 22 24 
36.0,3 11 14 17 20 22 6 
36.0,3 11 14 17 20 24 18 
35.0,3 11 14 17 20 24 0 
35.0,3 11 14 17 20 24 1 
35.0,3 11 14 17 20 24 13 
35.0,3 11 14 17 20 24 15 
35.0,3 11 14 17 20 24 16 
