86.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 25 
86.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 43 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 0 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 6 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 11 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 13 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 26 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 27 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 28 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 31 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 36 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 47 
85.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 49 
84.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 37 
84.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 41 48 
83.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 15 
83.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 32 
82.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 10 
82.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 19 
82.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 34 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 3 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 4 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 5 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 8 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 9 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 16 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 24 
81.0,1 7 12 33 2 14 17 18 20 23 45 21 22 30 29 
